Bil,Nama Klinik,Alamat Premis 1,Alamat Premis 2,Poskod,Daerah,Negeri,No. Telefon,Fax,Email,No. Lesen,Kelas Lesen,Tujuan Kegunaan,Sektor
12,THOMAS ANIMAL CLINIC & PET CORNER,"15, JALAN MEMPELAM,","OFF PERSIARAN RAJA MUDA MUSA,",41100,"KLANG,",Selangor,03-3371 7734,-,-,KKM/R/0466,C,MENSTOR MENGGUNA,Swasta
13,HESHMAEL'S CLINIC FOR PETS SDN. BHD.,"21, JALAN PJU 5/13, DATARAN SUNWAY,","SUNWAY DAMANSARA,",47810,"PETALING JAYA,",Selangor,03-6156 2478,03-6156 2484,nazimsb@gmail.com,KKM/R/1035,C,MENSTOR MENGGUNA,Swasta
14,KLINIK HAIWAN LIAN,"253, JALAN SENTOSA 41,","TAMAN BUNGA MELOR,",41050,"KLANG,",Selangor,03-3345 1828,03-3345 1828,-,KKM/R/0213,C,MENSTOR MENGGUNA,Swasta
15,BANDAR PUTERI VETERINARY CLINIC & SURGERY,"NO. 16, JALAN PUTERI 5/8,","BANDAR PUTERI,",47100,"PUCHONG,",Selangor,012-326 3180 / 03-8062 1038,-,bandarputeri.vet@gmail.com,KKM/R/0390,C,MENSTOR MENGGUNA,Swasta
16,ANIMED VETERINARY CENTER,"38, JALAN TEMENGGUNG 7/9,","BANDAR MAHKOTA CHERAS,",43200,"CHERAS,",Selangor,03-9019 0100,03-9019 0100,animedvet@hotmail.com/hoo.vet@gmail.com,KKM/R/0625,C,MENSTOR MENGGUNA,Swasta
17,CITY PETS VETERINARY CLINIC,"C1-00-27, GROUND FLOOR, JALAN SR 1/9,","TAMAN SERDANG RAYA, SEKSYEN 9,",43300,"SERI KEMBANGAN,",Selangor,013-362 0336 / 03-8943 5602,-,-,KKM/R/0522,C,MENSTOR MENGGUNA,Swasta
18,ANIMAL MEDICAL CENTRE (ULU KLANG),"NO. 6, MEDAN DAMAI UKAY,","JALAN PINGGIRAN 1, ULU KELANG,",68000,"AMPANG,",Selangor,03-4042 5873,-,admin@medivet.com.my,KKM/R/0542,C,MENSTOR MENGGUNA,Swasta
19,YAP ANIMAL CLINIC & SURGERY,"111, BERKELEY TOWN CENTRE,","OFF JALAN BATU TIGA, KAWASAN 16,",41300,"KLANG,",Selangor,03-3341 7255,-,-,KKM/R/0428,C,MENSTOR MENGGUNA,Swasta
20,HEALING PETS ANIMAL CLINIC,"NO. 16G, JALAN SS 22/25,","DAMANSARA JAYA,",47400,"PETALING JAYA,",Selangor,03-7725 6254/ 012-3132865,-,drstevenyoon@yahoo.com,KKM/R/0999,C,MENSTOR,Swasta
21,EVERISE VETERINARY CLINIC,"21, JALAN KP 1/4,","KAJANG PRIMA,",43000,"KAJANG,",Selangor,03-8733 0878 / 012-689 4566,03-8733 0878,-,KKM/R/0817,C,MENSTOR MENGGUNA,Swasta
22,ONE USJ VETERINARY CENTRE SDN. BHD.,"NO. S-00-05, IMPIAN MERIDIAN,","JALAN SUBANG 1, USJ 1,",47600,"SUBANG JAYA,",Selangor,012-295 1089,03-5880 6570,segarvethospital@gmail.com,KKM/R/0991,C,MENSTOR,Swasta
23,HOSPITAL VETERINAR UNIVERSITI (UPM),"UNIT RADIOLOGI HOSPITAL VETERINAR UNIVERSITI,","UNIVERSITI PUTRA MALAYSIA, 43400",,"SERDANG,",Selangor,03-86093980/ 3942,-,salinahj@putra.upm.edu.my,KKM/R/0329,C,MENSTOR MENGGUNA,Swasta
24,USJ ANIMAL CLINIC (SUBANG JAYA),"NO. 51, JALAN USJ 8/2B,","UEP SUBANG JAYA,",47610,,Selangor,03-5621 1809,-,-,KKM/R/0574,C,MENSTOR MENGGUNA,Swasta
25,KLINIK VETERINAR MAYO,"11A, JALAN USJ 10/1G,",,47620,"UEP SUBANG JAYA,",Selangor,03-5637 7026 / 012-366 4183,03-5637 7126,nisa_rasul@yahoo.com,KKM/R/0495,C,MENSTOR MENGGUNA,Swasta
26,KINRARA VETERINARY CENTRE,"55-G, JALAN KENARI 21,","BANDAR PUCHONG JAYA,",47100,"PUCHONG,",Selangor,03-80800795 / 012-686 7363,-,-,KKM/R/0863,C,MENSTOR MENGGUNA,Swasta
27,KM ANIMAL CLINIC & SURGERY,"NO. 5, JALAN INDUSTRI BATU CAVES 1/1,","TAMAN PERINDUSTRIAN BATU CAVES,",68100,"BATU CAVES,",Selangor,03-6185 0826 / 019-377 8455,-,enquiry@kmvetpharm.com.my/ nisa_rasul@yahoo.com,KKM/R/0264,C,MENSTOR MENGGUNA,Swasta
28,BUKIT TINGGI ANIMAL CLINIC SDN. BHD.,"NO. 8, LORONG BATU NILAM 1B,","BANDAR BARU TINGGI,",41200,"KLANG,",Selangor,016-365 7269 / 03-3318 2893,-,eglonet1@yahoo.com,KKM/R/0167,C,MENSTOR MENGGUNA,Swasta
29,SAMC ANIMAL'S CENTRE,"LOT G6 & G7, BLOCK C, KOMPLEKS KAJANG SENTRAL,","JALAN TKS 1, TAMAN KAJANG SENTRAL,",43000,"KAJANG,",Selangor,03-8741 4481,-,abrasitibrahim@yahoo.com.my,KKM/R/1165,C,MENSTOR MENGGUNA,Swasta
30,GOH VETERINARY CLINIC & SURGERY,"NO. 32, JALAN DAMAI UTAMA 1,","TAMAN DAMAI UTAMA,",47180,"PUCHONG,",Selangor,012-930 9836,-,-,KKM/R/0082,C,MENSTOR MENGGUNA,Swasta
31,LIM & LOO VETERINARY CLINIC,"NO. 32-G, JALAN EQUINE 9B, TAMAN EQUINE,","BANDAR PUTRA PERMAI,",43300,"SERI KEMBANGAN,",Selangor,03-8942 3118,-,-,KKM/R/0016,C,MENSTOR MENGGUNA,Swasta
32,CARING VETERINARY CENTRE,"50, JALAN ANGGERIK VANILLA Z 31/Z,","KOTA KEMUNING,",40460,"SHAH ALAM,",Selangor,03-5121 4440,03-5121 4440,-,KKM/R/0457,C,MENSTOR MENGGUNA,Swasta
33,KOTA DAMANSARA VETERINARY CLINIC & SURGERY,"NO. 20-1, JALAN PJU 5/10,","DATARAN SUNWAY, KOTA DAMANSARA",47810,"PETALING JAYA,",Selangor,03-6143 5988 / 012-901 7468,-,-,KKM/R/0430,C,MENSTOR MENGGUNA,Swasta
34,GASING VETERINARY HOSPITAL,"53 &55 JALAN 5/58,","GASING INDAH,",46000,"PETALING JAYA,",Selangor,03-77823553,03-77829663,-,KKM/R/0332,C,MENSTOR MENGGUNA,Swasta
35,VALLEY PETS VETERINARY CLINIC,"10-G, JALAN SL 1/13,","BANDAR SUNGAI LONG,",43200,"KAJANG,",Selangor,03-9010 5397,-,valleypetsvet@gmail.com,KKM/R/1052,C,MENSTOR MENGGUNA,Swasta
36,BRP ANIMAL CLINIC & SURGERY,"NO. 53A, JALAN BRP 6/10,","BUKIT RAHMAN PUTRA,",47000,"SUNGAI BULOH,",Selangor,03-6145 0827 / 017-348 0378,-,brpvet@gmail.com,KKM/R/0529,C,MENSTOR MENGGUNA,Swasta
37,GASING VETERINARY HOSPITAL,"NO. 53 & 55, JALAN 5/58,","JALAN GASING INDAH, SECTION 5,",46000,"PETALING JAYA,",Selangor,03-7782 9663,-,-,KKM/R/0332,C,MENSTOR MENGGUNA,Swasta
38,KLINIK HAIWAN & SURGERI TAMAN EQUINE,"NO. 40, JALAN BPP 8/3,","BANDAR PUTRA PERMAI,",43300,"SERI KEMBANGAN,",Selangor,019-658 5257 / 013-334 4498,03-8958 4498,drzul83@gmail.com,KKM/0002,C,MENSTOR MENGGUNA,Swasta
39,KLINIK HAIWAN VET PARTNERS,"13-G, JALAN PUTERI 1/6,","BANDAR PUTERI,",47100,"PUCHONG,",Selangor,,-,operations@globalpets.com.my,KKM/0088,C,MENSTOR MEMBELI,Swasta
40,KLINIK VETERINAR TASIK PRIMA,"6-1, PRIMA BIZ WALK, JALAN TASIK PRIMA 6/2,","TAMAN TASIK PRIMA,",47150,"PUCHONG,",Selangor,03-8051 5755 / 012-621 0821,,tasikprimavet@gmail.com,KKM/0042,C,MENSTOR MEMBELI,Swasta
41,KLINIK HAIWAN LITTLE PAWS,"NO. 3A-1, JALAN MAISONS 2,","PERSIARAN ANGGUN RIA,",48000,"RAWANG,",Selangor,03-60941993 / 017-3297571,-,littlepaws.my@outlook.com,KKM/0095,C,MENSTOR MEMBELI,Swasta
42,KLINIK HAIWAN & SURGERI PUTRA HEIGHTS,"38, PUTRA POINT 2,","JALAN PUTRA MAHKOTA 7/6A, SEKSYEN 7, PUTRA HEIGHTS,",47650,"SUBANG JAYA,",Selangor,03-51036262; 012-9831269,-,vetessential@gmail.com,KKM/0171,C,MENSTOR MEMBELI,Swasta
43,JAWHARI CAT MEDICAL CENTRE,"NO. A39, KUANTAN AVENUE,","JALAN BESERAH,",25000,"KUANTAN,",Pahang,09-5143399/ 019-9360053,09-5143969,kvsjtg@yahoo.com / adminkl@medicalplus-group.com,KKM/R/0477,C,MENSTOR MENGGUNA,Swasta
44,FAKULTI PERUBATAN VETERINAR (UMK),"BILIK X-RAY, KLINIK HAIWAN KESAYANGAN,","BANGUNAN UMK, LOT PT 4434, MUKIM PANCHOR,",16100,"KOTA BHARU,",Kelantan,09-7717298 / 012-410 2380 / 013-332 1521,09-7717132,aslamiah@umk.edu.my,KKM/R/0807,C,MENSTOR,Swasta
45,CENTURY ANIMAL MEDICAL CENTRE,"LOT 25, GROUND FLOOR, BLOCK C, PLAZA UTAMA,","JALAN PENAMPANG BYPASS,",88300,"KOTA KINABALU,",Sabah,012-218 1032 / 088-731032,-,centuryanimal@gmail.com,KKM/R/0458,C,MENSTOR MENGGUNA,Swasta
46,SABAH ANIMAL MEDICAL CENTRE,"SHOP LOT 4, TAMAN FU YEN PH 3,","LORONG ANGSA 1, JALAN KOLAM,",88300,"KOTA KINABALU,",Sabah,088-253481,-,"abrasitibrashim@yahoo.com.my,",KKM/R/0399,C,MENSTOR MENGGUNA,Swasta
47,LOCH ELEVEN ANIMAL CLINIC,"526, HAPPY GARDEN",LORONG PIPIT UBAN,88450,"KOTA KINABALU,",Sabah,088-393032 / 088-313100,-,loch11animalclinic@gmail.com,KKM/R/0285,C,MENSTOR,Swasta
48,KINABALU ANIMAL CLINIC,"LOT 6, LORONG DURIAN 3,","KIAN YAP INDUSTRIAL ESTATE,",88450,"KOTA KINABALU,",Sabah,016-822 7025,-,kinabaluvet@gmail.com,KKM/0072,C,MENSTOR MENGGUNA,Swasta
49,KLINIK HAIWAN & SURGERY TUARAN,"LOT 14, UNIT 14-0,","BERUNGIS COMMERCIAL CENTRE,",89208,"TUARAN,",Sabah,088-785389,-,-,KKM/0190,C,MENSTOR MEMBELI,Swasta
50,BETTIE VETERINARY CLINIC & SURGERY,"LOT 1490-1492,","LORONG 10 B, KROKOP,",98008,"MIRI,",Sarawak,085-439439,-,bettievet@gmail.com,KKM/R/0742,C,MENSTOR MENGGUNA,Swasta
51,CITY VETERINARY CENTRE SDN. BHD.,"NO. 38, LOT 94, SECTION 56,","SANNY ESTATE, JALAN TABUAN,",93200,"KUCHING,",Sarawak,082-243993,082-424144,joeyck666@gmail.com,KKM/R/0268,C,MENSTOR MENGGUNA,Swasta
52,UNION VETERINARY CLINIC,"56, JALAN PEDADA,",,96000,"SIBU,",Sarawak,084-335005 / 012-886 1516,-,-,KKM/R/0938,C,MENSTOR,Swasta
53,ANIMAL CENTRAL VETERINARY CLINIC,"LOT 152,","JALAN TAMBUAN,",93100,"KUCHING,",Sarawak,016-865 7234 / 082-259081,-,davies@email.com,KKM/R/0995,C,MENSTOR,Swasta
54,TING & LU VETERINARY CENTRE,"NO. 87, GROUND FLOOR, LOT 11879 SL 12,","WESTIN AVENUE, JALAN TUN JUGAH,",93350,"KUCHING,",Sarawak,082-576633 / 019-857 0557,-,patlin6@yahoo.com,KKM/R/0395,C,MENSTOR MENGGUNA,Swasta
55,CHENG ANIMAL CLINIC AND SURGERY,"1st. FLOOR, SHOPLOT 23,","SIBIYU UTAMA COMMERCIAL CENTRE,",97000,"BINTULU,",Sarawak,019-888 7606,-,-,KKM/0100,C,MENSTOR MENGGUNA,Swasta
56,KOH ANIMAL CLINIC & SURGERY,"62, JALAN KEMUNTING,","TAMAN KEBUN TEH,",80250,"JOHOR BAHRU,",Johor,07-3329599,07-3336837,kohanimalclinic@gmail.com,KKM/R/0129,C,MENSTOR MENGGUNA,Swasta
57,GLOBAL PETS SDN. BHD.,"NO. 16-18, JALAN JATI 1,","TAMAN NUSA BESTARI JAYA,",81300,"SKUDAI,",Johor,07-5123344 / 07-2320541 / 016-7164343,07-5124343,yvonne@medicalplus-group.com / checknam@globalpets.com.my,KKM/R/0242,C,MENSTOR MENGGUNA,Swasta
58,JB ANIMAL MEDICAL CLINIC,"47, JALAN PUTRA 1,","TAMAN SRI PUTRA,",81200,"JOHOR BAHRU,",Johor,07-5564284 / 012-704 0479,-,lyhong2368@yahoo.com,KKM/R/1150,C,MENSTOR MENGGUNA,Swasta
59,BATU ANIMAL CLINIC & SURGERY,"NO. 16, JALAN SHAHBANDAR 6,","TAMAN UNGKU TUN AMINAH,",81300,"SKUDAI,",Johor,07-5570166 / 019-712 7334,-,-,KKM/R/0892,C,MENSTOR MENGGUNA,Swasta
60,GLOBAL PETS SDN. BHD. (PERMAS JAYA),"56-58, JALAN PERMAS 10,","BANDAR BARU PERMAS JAYA,",81750,"MASAI,",Johor,012-727 2633,07-5124343,-,KKM/R/0919,C,MENSTOR MENGGUNA,Swasta
61,P.E.T.S VETERINARY CENTRE (BATU PAHAT),"31, JALAN KUNING,","TAMAN BUKIT PASIR,",83000,"BATU PAHAT,",Johor,013-904 9248 / 017-252 5999 /07-4314 653,03-3341 2558,allpets31@gmail.com,KKM/R/0243,C,MENSTOR MENGGUNA,Swasta
62,KLUANG PET MEDICAL CENTRE,"12, JALAN BERLIAN 2,","TAMAN BERLIAN BIRU,",86000,"KLUANG,",Johor,07-7767706,,cheahwuihong@hotmail.com,KKM/0209,C,MENSTOR MENGGUNA,Swasta
63,VALLY ANIMAL CLINIC (M) SDN. BHD.,"109, JALAN LAKSAMANA CHENG HO,",,75000,Melaka,Melaka,06-2849918,06-2865207,-,KKM/R/0218,C,MENSTOR MENGGUNA,Swasta
64,MAJU ANIMAL CLINIC,"NO. 25, JALAN KANAN 1,","TAMAN CERGAS, BATU BERENDAM,",75350,Melaka,Melaka,06-3173669 / 012-631 2943,06-3173669,thiruvarasusupaya@yahoo.com,KKM/R/0503,C,MENSTOR MENGGUNA,Swasta
65,KLINIK HAIWAN EE,"197, TAMAN CHONG LOONG,","JALAN RAHANG,",70100,"SEREMBAN,",Negeri Sembilan,019-361 3847 / 06-7617211,-,-,KKM/R/0726,C,MENSTOR MENGGUNA,Swasta
66,PETS VETERINARY CENTRE (SENAWANG),"4, JALAN PUSAT PERDAGANGAN BUKIT EMAS 2-1,",,70450,"SENAWANG,",Negeri Sembilan,017-252 5999 / 07-4314653,-,tomae2@gmail.com,KKM/R/1159,C,MENSTOR,Swasta
67,PENANG TURF CLUB,"RACE COURSE,","JALAN BATU GANTONG,",10450,Pulau Pinang,Pulau Pinang,04-2385266,-,pntcvet@yahoo.com,KKM/R/1006,C,MENSTOR MENGGUNA,Swasta
68,GILL'S VETERINARY CLINIC,"NO. 10-A, JALAN BAGAN JERMAL,",,10250,Pulau Pinang,Pulau Pinang,04-2262517,-,gillsvet@gmail.com,KKM/R/1047,C,MENSTOR MENGGUNA,Swasta
69,PENG-AUN VETERINARY CLINIC,"NO. 728, JALAN SUNGAI DUA,",,11700,"GELUGOR,",Pulau Pinang,012-423 0573 / 04-6460137,-,pengaunvet@gmail.com,KKM/R/1064,C,MENSTOR MENGGUNA,Swasta
70,HOPE VETERINARY CENTRE,"12, JALAN PANTAI JEREJAK,",,11900,SUNGAI NIBONG,Pulau Pinang,04-6560113/ 017-4656865,04-6569458,adm.hopevetcentre@gmail.com,KKM/R/0493,C,MENSTOR MENGGUNA,Swasta
71,WINDSOR ANIMAL HOSPITAL SDN. BHD.,"C-G-7, VANTAGE DESIRAN,","JALAN DESIRAN TANJUNG,",10470,"TANJUNG TOKONG,",Pulau Pinang,04-8990055,04-8920055,support@windsor-animalhospital.com,KKM/R/1042,C,MENSTOR MENGGUNA,Swasta
72,ARK VETERINARY CENTRE,"25, LEBUH LEMBAH PERMAI 1,",,11200,"TANJUNG BUNGAH,",Pulau Pinang,-,-,lynnchween.ooi@gmail.com,KKM/0050,C,MENSTOR MENGGUNA,Swasta
73,PET WELLNESS VETERINARY CENTER,"7463, JALAN BAGAN LALANG,","TAMAN CARISSA VILLA,",13400,"BUTTERWORTH,",Pulau Pinang,04-3137180/ 017-4758679,-,petwellnessvc@gmail.com,KKM/0001,C,MENSTOR MENGGUNA,Swasta
74,ANIMAL MEDICAL CENTRE SDN. BHD.,"WISMA MEDIVET,","6 & 8, JALAN TUN RAZAK,",50400,"KUALA LUMPUR,",Wilayah Persekutuan ,03-4043 2420 / 03-4042 5113,03-4041 3660,www.animalhospital.com.my / admin@medivet.com.my; radiology@animalhospital.com.my,KKM/R/0770,C,MENSTOR MENGGUNA,Swasta
75,DAMANSARA HEIGHTS VETERINARY CLINIC,"NO. 79, MEDAN SETIA 1,","PLAZA DAMANSARA,",50490,"KUALA LUMPUR,",Wilayah Persekutuan ,03-2095 6877,03-2093 3596,-,KKM/R/0011,C,MENSTOR MENGGUNA,Swasta
76,GOOD SHEPHERD VETERINARY CENTRE SDN. BHD.,"160, JALAN MAAROF","BUKIT BANDARAYA, BANGSAR,",59100,KUALA LUMPUR,Wilayah Persekutuan ,03-20954255 / 20961701,03-20958188/03-20956048,EQUINEDR@YAHOO.COM,KKM/R/0262,C,MENSTOR,Swasta
77,BANGSAR VETERINARY CLINIC & SURGERY,"NO. 94, LORONG MAAROF,","TAMAN BANGSAR,",59000,"KUALA LUMPUR,",Wilayah Persekutuan ,03-2284 4051,-,-,KKM/R/1020,C,MENSTOR MENGGUNA,Swasta
78,SEGAR PETS CENTRE AND VETERINARY SERVICES,"NO. 2, JALAN MANIS 3,","TAMAN SEGAR, CHERAS,",56100,"KUALA LUMPUR,",Wilayah Persekutuan ,012-295 1089 / 03-9131 7839,-,-,KKM/R/0309,C,MENSTOR MENGGUNA,Swasta
79,HAYWARD ANIMAL CLINIC,"NO. 437, JALAN AMPANG,",,50450,"KUALA LUMPUR,",Wilayah Persekutuan ,03-4256 3175,-,-,KKM/R/0225,C,MENSTOR MENGGUNA,Swasta
80,ANIMAL POLYCLINIC & KENNELS SDN. BHD.,"145A & 147, JALAN INDAH UPC, BATU 3 1/2,","JALAN KELANG LAMA,",58000,"KUALA LUMPUR,",Wilayah Persekutuan ,03-7982 4687 / 03-7982 8731 / 03-7982 7432,03-7983 5285,siewyin2010@gmail.com,KKM/R/0134,C,MENSTOR MENGGUNA,Swasta
81,PETWEL VETERINARY CLINIC,"153, JALAN LANCANG,","TAMAN SRI BAHTERA, CHERAS,",56100," KUALA LUMPUR,",Wilayah Persekutuan ,03-9130 3435,03-9130 3435,drvtc@yahoo.com,KKM/R/0711,C,MENSTOR MENGGUNA,Swasta
82,SELANGOR TURF CLUB,"JALAN SUNGAI BESI,",,57100,"KUALA LUMPUR,",Wilayah Persekutuan ,03-9058 3888 / 012-226 8239,03-9057 3893,shri73@gmail.com,KKM/R/0599,C,MENSTOR MENGGUNA,Swasta
83,PET FIRST VETERINARY CENTRE,"68, JALAN METRO PERDANA BARAT 12,","SRI EDARAN INDUSTRIAL PARK, OFF JALAN KEPONG,",52100,"KUALA LUMPUR,",Wilayah Persekutuan ,03-6259 5499 / 017-280 3388,-,-,KKM/R/0600,C,MENSTOR MENGGUNA,Swasta
84,LEE VETERINARY CLINIC,"NO. 35, JALAN KUCHAI MAJU 1,","OFF JALAN KUCHAI LAMA,",58200,"KUALA LUMPUR,",Wilayah Persekutuan ,03-7987 7991,-,-,KKM/R/0320,C,MENSTOR MENGGUNA,Swasta
85,TEOH ANIMAL CLINIC,"NO. 9, JALAN PERUBATAN 4,","PANDAN INDAH,",55100,"KUALA LUMPUR,",Wilayah Persekutuan ,03-4292 0610,-,teohhunpin@yahoo.com,KKM/R/0386,C,MENSTOR MENGGUNA,Swasta
86,VETS FOR PETS ANIMAL CLINIC,"A-G-3, JALAN KUCHAI MAJU 13,","KUCHAI EXCHANGE,",58200,"KUALA LUMPUR,",Wilayah Persekutuan ,03-7980 5980,-,-,KKM/R/0347,C,MENSTOR,Swasta
87,PETCARE ENTERPRISE SDN. BHD.,"9145, JALAN BANDAR 4,","TAMAN MELAWATI,",53100,"KUALA LUMPUR,",Wilayah Persekutuan ,019-276 0885 / 03-4106 7515,-,-,KKM/R/0511,C,MENSTOR MENGGUNA,Swasta
88,SEE VETERINARY MEDICAL CENTRE,"9, JALAN 1/149 J,","BANDAR BARU SRI PETALING,",57000,"KUALA LUMPUR,",Wilayah Persekutuan ,03-9056 4435 /012-330 2911,03-9056 3435,seevetmedicalcentre@yahoo.com,KKM/R/1051,C,MENSTOR MENGGUNA,Swasta
89,JABATAN PERLINDUNGAN HIDUPAN LIAR DAN TAMAN NEGARA (PERHILITAN SUNGKAI),PUSAT MENYELAMAT HIDUPAN LIAR KEBANGSAAN SUNGKAI,,35600,SUNGKAI,Perak,012-9571971,-,sitiaminah@wildlife.gov.my; zubaidah@wildlife.gov.my,T/B,C,MENSTOR MENGGUNA,Kerajaan
90,JABATAN PERKHIDMATAN HAIWAN & PERUSAHAN TERNAK KEPAYAN,"JALAN PAHLAWAN,",,88200,KOTA KINABALU,Sabah,088-251233,088-232478,-,T/B,A&C,MENSTOR MENGGUNA,Kerajaan
91,JABATAN PERKHIDMATAN HAIWAN WILAYAH PERSEKUTUAN,JABATAN PERKHIDMATAN HAIWAN WILAYAH PERSEKUTUAN,"KM 4, JALAN SELAR 4, OFF JALAN CHERAS, CHERAS,",56100, KUALA LUMPUR,Wilayah Persekutuan ,03-9284 9716 / 03-9284 9718,-,-,T/B,C,MENSTOR MENGGUNA,Kerajaan
92,HOSPITAL VETERINAR KUALA LUMPUR,JABATAN PERKHIDMATAN VETERINAR WP,"KM 4, JALAN SELAR 4, OFF JALAN CHERAS, ",56100,KUALA LUMPUR,Wilayah Persekutuan ,-,-,-,T/B,C,MENSTOR MENGGUNA,Kerajaan
93,JABATAN PERLINDUNGAN HIDUPAN LIAR & TAMAN NEGARA (PERHILITAN),"KOMPLEKS PANDA, ZOO NEGARA MALAYSIA","JALAN TAMAN ZOO VIEW,",68000,"HULU KELANG,",Wilayah Persekutuan ,03-9086 6835 / 03-9086 6800,03-9075 2873,inirah@wildlife.gov.my,T/B,A&C,MENSTOR MENGGUNA,Kerajaan
,,,,,,,,,,,,,
,*Nota:,,,,,,,,,,,,
,T/B - Tidak Berkenaan,,,,,,,,,,,,
