Bil,Nama Klinik,Alamat Premis,Poskod,Daerah,Negeri,No. Telefon,No. Lesen,Kelas Lesen,Tujuan Kegunaan,Sektor
28,Bukit Tinggi Animal Clinic Sdn. Bhd.,"No. 8, Lorong Batu Nilam 1B",41200,Klang,Selangor,016-365 7269 / 03-3318 2893,KKM/R/0167,C,Menstor Mengguna,Swasta
29,Samc Animal'S Centre,"Lot G6 & G7, Block C, Kompleks Kajang Sentral",43000,Kajang,Selangor,03-8741 4481,KKM/R/1165,C,Menstor Mengguna,Swasta
30,Goh Veterinary Clinic & Surgery,"No. 32, Jalan Damai Utama 1",47180,Puchong,Selangor,012-930 9836,KKM/R/0082,C,Menstor Mengguna,Swasta
31,Lim & Loo Veterinary Clinic,"No. 32-G, Jalan Equine 9B, Taman Equine",43300,Seri kembangan,Selangor,03-8942 3118,KKM/R/0016,C,Menstor Mengguna,Swasta
32,Caring Veterinary Centre,"50, Jalan Anggerik Vanilla Z 31/Z",40460,Shah alam,Selangor,03-5121 4440,KKM/R/0457,C,Menstor Mengguna,Swasta
33,Kota Damansara Veterinary Clinic & Surgery,"No. 20-1, Jalan Pju 5/10",47810,Petaling jaya,Selangor,03-6143 5988 / 012-901 7468,KKM/R/0430,C,Menstor Mengguna,Swasta
34,Gasing Veterinary Hospital,53 &55 Jalan 5/58,46000,Petaling jaya,Selangor,03-77823553,KKM/R/0332,C,Menstor Mengguna,Swasta
35,Valley Pets Veterinary Clinic,"10-G, Jalan Sl 1/13",43200,Kajang,Selangor,03-9010 5397,KKM/R/1052,C,Menstor Mengguna,Swasta
36,Brp Animal Clinic & Surgery,"No. 53A, Jalan Brp 6/10",47000,Sungai buloh,Selangor,03-6145 0827 / 017-348 0378,KKM/R/0529,C,Menstor Mengguna,Swasta
37,Gasing Veterinary Hospital,"No. 53 & 55, Jalan 5/58",46000,Petaling jaya,Selangor,03-7782 9663,KKM/R/0332,C,Menstor Mengguna,Swasta
38,Klinik Haiwan & Surgeri Taman Equine,"No. 40, Jalan Bpp 8/3",43300,Seri kembangan,Selangor,019-658 5257 / 013-334 4498,KKM/0002,C,Menstor Mengguna,Swasta
39,Klinik Haiwan Vet Partners,"13-G, Jalan Puteri 1/6",47100,Puchong,Selangor,018-776 2218,KKM/0088,C,Menstor Membeli,Swasta
40,Klinik Veterinar Tasik Prima,"6-1, Prima Biz Walk, Jalan Tasik Prima 6/2",47150,Puchong,Selangor,03-8051 5755 / 012-621 0821,KKM/0042,C,Menstor Membeli,Swasta
41,Klinik Haiwan Little Paws,"No. 3A-1, Jalan Maisons 2",48000,Rawang,Selangor,03-60941993 / 017-3297571,KKM/0095,C,Menstor Membeli,Swasta
42,Klinik Haiwan & Surgeri Putra Heights,"38, Putra Point 2",47650,Subang jaya,Selangor,03-51036262; 012-9831269,KKM/0171,C,Menstor Membeli,Swasta
43,Jawhari Cat Medical Centre,"No. A39, Kuantan Avenue",25000,Kuantan,Pahang,09-5143399/ 019-9360053,KKM/R/0477,C,Menstor Mengguna,Swasta
44,Fakulti Perubatan Veterinar (Umk),"Bilik X-Ray, Klinik Haiwan Kesayangan",16100,Kota bharu,Kelantan,09-7717298 / 012-410 2380 / 013-332 1521,KKM/R/0807,C,Menstor,Swasta
45,Century Animal Medical Centre,"Lot 25, Ground Floor, Block C, Plaza Utama",88300,Kota kinabalu,Sabah,012-218 1032 / 088-731032,KKM/R/0458,C,Menstor Mengguna,Swasta
46,Sabah Animal Medical Centre,"Shop Lot 4, Taman Fu Yen Ph 3",88300,Kota kinabalu,Sabah,088-253481,KKM/R/0399,C,Menstor Mengguna,Swasta
47,Loch Eleven Animal Clinic,"526, Happy Garden",88450,Kota kinabalu,Sabah,088-393032 / 088-313100,KKM/R/0285,C,Menstor,Swasta
48,Kinabalu Animal Clinic,"Lot 6, Lorong Durian 3",88450,Kota kinabalu,Sabah,016-822 7025,KKM/0072,C,Menstor Mengguna,Swasta
49,Klinik Haiwan & Surgery Tuaran,"Lot 14, Unit 14-0",89208,Tuaran,Sabah,088-785389,KKM/0190,C,Menstor Membeli,Swasta
50,Bettie Veterinary Clinic & Surgery,Lot 1490-1492,98008,Miri,Sarawak,085-439439,KKM/R/0742,C,Menstor Mengguna,Swasta
51,City Veterinary Centre Sdn. Bhd.,"No. 38, Lot 94, Section 56",93200,Kuching,Sarawak,082-243993,KKM/R/0268,C,Menstor Mengguna,Swasta
52,Union Veterinary Clinic,"56, Jalan Pedada",96000,Sibu,Sarawak,084-335005 / 012-886 1516,KKM/R/0938,C,Menstor,Swasta
53,Animal Central Veterinary Clinic,Lot 152,93100,Kuching,Sarawak,016-865 7234 / 082-259081,KKM/R/0995,C,Menstor,Swasta
54,Ting & Lu Veterinary Centre,"No. 87, Ground Floor, Lot 11879 Sl 12",93350,Kuching,Sarawak,082-576633 / 019-857 0557,KKM/R/0395,C,Menstor Mengguna,Swasta
55,Cheng Animal Clinic And Surgery,"1St. Floor, Shoplot 23",97000,Bintulu,Sarawak,019-888 7606,KKM/0100,C,Menstor Mengguna,Swasta
56,Koh Animal Clinic & Surgery,"62, Jalan Kemunting",80250,Johor bahru,Johor,07-3329599,KKM/R/0129,C,Menstor Mengguna,Swasta
57,Global Pets Sdn. Bhd.,"No. 16-18, Jalan Jati 1",81300,Skudai,Johor,07-5123344 / 07-2320541 / 016-7164343,KKM/R/0242,C,Menstor Mengguna,Swasta
58,Jb Animal Medical Clinic,"47, Jalan Putra 1",81200,Johor bahru,Johor,07-5564284 / 012-704 0479,KKM/R/1150,C,Menstor Mengguna,Swasta
59,Batu Animal Clinic & Surgery,"No. 16, Jalan Shahbandar 6",81300,Skudai,Johor,07-5570166 / 019-712 7334,KKM/R/0892,C,Menstor Mengguna,Swasta
60,Global Pets Sdn. Bhd. (Permas Jaya),"56-58, Jalan Permas 10",81750,Masai,Johor,012-727 2633,KKM/R/0919,C,Menstor Mengguna,Swasta
61,P.E.T.S Veterinary Centre (Batu Pahat),"31, Jalan Kuning",83000,Batu pahat,Johor,013-904 9248 / 017-252 5999 /07-4314 653,KKM/R/0243,C,Menstor Mengguna,Swasta
62,Kluang Pet Medical Centre,"12, Jalan Berlian 2",86000,Kluang,Johor,07-7767706,KKM/0209,C,Menstor Mengguna,Swasta
63,Vally Animal Clinic (M) Sdn. Bhd.,"109, Jalan Laksamana Cheng Ho",75000,Melaka,Melaka,06-2849918,KKM/R/0218,C,Menstor Mengguna,Swasta
64,Maju Animal Clinic,"No. 25, Jalan Kanan 1",75350,Melaka,Melaka,06-3173669 / 012-631 2943,KKM/R/0503,C,Menstor Mengguna,Swasta
65,Klinik Haiwan Ee,"197, Taman Chong Loong",70100,Seremban,Negeri Sembilan,019-361 3847 / 06-7617211,KKM/R/0726,C,Menstor Mengguna,Swasta
66,Pets Veterinary Centre (Senawang),"4, Jalan Pusat Perdagangan Bukit Emas 2-1",70450,Senawang,Negeri Sembilan,017-252 5999 / 07-4314653,KKM/R/1159,C,Menstor,Swasta
67,Penang Turf Club,Race Course,10450,Pulau pinang,Pulau Pinang,04-2385266,KKM/R/1006,C,Menstor Mengguna,Swasta
68,Gill'S Veterinary Clinic,"No. 10-A, Jalan Bagan Jermal",10250,Pulau pinang,Pulau Pinang,04-2262517,KKM/R/1047,C,Menstor Mengguna,Swasta
69,Peng-Aun Veterinary Clinic,"No. 728, Jalan Sungai Dua",11700,Gelugor,Pulau Pinang,012-423 0573 / 04-6460137,KKM/R/1064,C,Menstor Mengguna,Swasta
70,Hope Veterinary Centre,"12, Jalan Pantai Jerejak",11900,Sungai nibong,Pulau Pinang,04-6560113/ 017-4656865,KKM/R/0493,C,Menstor Mengguna,Swasta
71,Windsor Animal Hospital Sdn. Bhd.,"C-G-7, Vantage Desiran",10470,Tanjung tokong,Pulau Pinang,04-8990055,KKM/R/1042,C,Menstor Mengguna,Swasta
72,Ark Veterinary Centre,"25, Lebuh Lembah Permai 1",11200,Tanjung bungah,Pulau Pinang,03-7726 7405,KKM/0050,C,Menstor Mengguna,Swasta
73,Pet Wellness Veterinary Center,"7463, Jalan Bagan Lalang",13400,Butterworth,Pulau Pinang,04-3137180/ 017-4758679,KKM/0001,C,Menstor Mengguna,Swasta
74,Animal Medical Centre Sdn. Bhd.,Wisma Medivet,50400,Kuala lumpur,Wilayah Persekutuan ,03-4043 2420 / 03-4042 5113,KKM/R/0770,C,Menstor Mengguna,Swasta
75,Damansara Heights Veterinary Clinic,"No. 79, Medan Setia 1",50490,Kuala lumpur,Wilayah Persekutuan ,03-2095 6877,KKM/R/0011,C,Menstor Mengguna,Swasta
76,Good Shepherd Veterinary Centre Sdn. Bhd.,"160, Jalan Maarof",59100,Kuala lumpur,Wilayah Persekutuan ,03-20954255 / 20961701,KKM/R/0262,C,Menstor,Swasta
77,Bangsar Veterinary Clinic & Surgery,"No. 94, Lorong Maarof",59000,Kuala lumpur,Wilayah Persekutuan ,03-2284 4051,KKM/R/1020,C,Menstor Mengguna,Swasta
78,Segar Pets Centre And Veterinary Services,"No. 2, Jalan Manis 3",56100,Kuala lumpur,Wilayah Persekutuan ,012-295 1089 / 03-9131 7839,KKM/R/0309,C,Menstor Mengguna,Swasta
79,Hayward Animal Clinic,"No. 437, Jalan Ampang",50450,Kuala lumpur,Wilayah Persekutuan ,03-4256 3175,KKM/R/0225,C,Menstor Mengguna,Swasta
80,Animal Polyclinic & Kennels Sdn. Bhd.,"145A & 147, Jalan Indah Upc, Batu 3 1/2",58000,Kuala lumpur,Wilayah Persekutuan ,03-7982 4687 / 03-7982 8731 / 03-7982 7432,KKM/R/0134,C,Menstor Mengguna,Swasta
81,Petwel Veterinary Clinic,"153, Jalan Lancang",56100, kuala lumpur,Wilayah Persekutuan ,03-9130 3435,KKM/R/0711,C,Menstor Mengguna,Swasta
82,Selangor Turf Club,Jalan Sungai Besi,57100,Kuala lumpur,Wilayah Persekutuan ,03-9058 3888 / 012-226 8239,KKM/R/0599,C,Menstor Mengguna,Swasta
83,Pet First Veterinary Centre,"68, Jalan Metro Perdana Barat 12",52100,Kuala lumpur,Wilayah Persekutuan ,03-6259 5499 / 017-280 3388,KKM/R/0600,C,Menstor Mengguna,Swasta
84,Lee Veterinary Clinic,"No. 35, Jalan Kuchai Maju 1",58200,Kuala lumpur,Wilayah Persekutuan ,03-7987 7991,KKM/R/0320,C,Menstor Mengguna,Swasta
85,Teoh Animal Clinic,"No. 9, Jalan Perubatan 4",55100,Kuala lumpur,Wilayah Persekutuan ,03-4292 0610,KKM/R/0386,C,Menstor Mengguna,Swasta
86,Vets For Pets Animal Clinic,"A-G-3, Jalan Kuchai Maju 13",58200,Kuala lumpur,Wilayah Persekutuan ,03-7980 5980,KKM/R/0347,C,Menstor,Swasta
87,Petcare Enterprise Sdn. Bhd.,"9145, Jalan Bandar 4",53100,Kuala lumpur,Wilayah Persekutuan ,019-276 0885 / 03-4106 7515,KKM/R/0511,C,Menstor Mengguna,Swasta
88,See Veterinary Medical Centre,"9, Jalan 1/149 J",57000,Kuala lumpur,Wilayah Persekutuan ,03-9056 4435 /012-330 2911,KKM/R/1051,C,Menstor Mengguna,Swasta
89,Jabatan Perlindungan Hidupan Liar Dan Taman Negara (Perhilitan Sungkai),Pusat Menyelamat Hidupan Liar Kebangsaan Sungkai,35600,Sungkai,Perak,012-9571971,T/B,C,Menstor Mengguna,Kerajaan
90,Jabatan Perkhidmatan Haiwan & Perusahan Ternak Kepayan,Jalan Pahlawan,88200,Kota kinabalu,Sabah,088-251233,T/B,A&C,Menstor Mengguna,Kerajaan
91,Jabatan Perkhidmatan Haiwan Wilayah Persekutuan,Jabatan Perkhidmatan Haiwan Wilayah Persekutuan,56100, kuala lumpur,Wilayah Persekutuan ,03-9284 9716 / 03-9284 9718,T/B,C,Menstor Mengguna,Kerajaan
92,Hospital Veterinar Kuala Lumpur,Jabatan Perkhidmatan Veterinar Wp,56100,Kuala lumpur,Wilayah Persekutuan ,03-9200 2890,T/B,C,Menstor Mengguna,Kerajaan
93,Jabatan Perlindungan Hidupan Liar & Taman Negara (Perhilitan),"Kompleks Panda, Zoo Negara Malaysia",68000,Hulu kelang,Wilayah Persekutuan ,03-9086 6835 / 03-9086 6800,T/B,A&C,Menstor Mengguna,Kerajaan
